%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;520;100;20500;420;100;20605;B166;PL
Vehicle0;420;100;20605;420;100;20610;B167;PL
Vehicle0;420;100;20610;520;100;20715;B165;PU
Vehicle0;520;100;20715;10;100;21230;B165;PL
Vehicle0;10;100;21230;530;100;21755;B171;PU
Vehicle0;530;100;21755;0;100;22290;B171;PL
Vehicle0;0;100;22290;530;100;22825;B169;PU
Vehicle0;530;100;22825;530;100;22830;B170;PU
Vehicle0;530;100;22830;480;100;22885;B170;PL
Vehicle0;480;100;22885;480;100;22890;B169;PL
Vehicle0;480;100;22890;530;100;22945;B168;PU
Vehicle0;530;100;22945;10;100;23470;B168;PL
Vehicle0;10;100;23470;550;100;24015;B179;PU
Vehicle0;550;100;24015;10;100;24560;B179;PL
Vehicle0;10;100;24560;560;100;25115;B182;PU
Vehicle0;560;100;25115;560;100;25120;B183;PU
Vehicle0;560;100;25120;530;100;25155;B183;PL
Vehicle0;530;100;25155;530;100;25160;B182;PL
Vehicle0;530;100;25160;560;100;25195;B181;PU
Vehicle0;560;100;25195;0;100;25760;B181;PL
Vehicle0;0;100;25760;560;100;26325;B180;PU
Vehicle0;560;100;26325;0;100;26890;B180;PL
Vehicle0;0;100;26890;570;100;27465;B186;PU
Vehicle0;570;100;27465;570;100;27470;B187;PU
Vehicle0;570;100;27470;560;100;27485;B187;PL
Vehicle0;560;100;27485;560;100;27490;B186;PL
Vehicle0;560;100;27490;570;100;27505;B185;PU
Vehicle0;570;100;27505;0;100;28080;B185;PL
Vehicle0;0;100;28080;580;100;28665;B191;PU
Vehicle0;580;100;28665;0;100;29250;B191;PL
Vehicle0;0;100;29250;580;100;29835;B189;PU
Vehicle0;580;100;29835;580;100;29840;B190;PU
Vehicle0;580;100;29840;580;100;29845;B190;PL
Vehicle0;580;100;29845;10;100;30420;B189;PL
Vehicle0;10;100;30420;580;100;30995;B188;PU
Vehicle0;580;100;30995;580;100;31000;B190;PU
Vehicle0;580;100;31000;580;100;31005;B190;PL
Vehicle0;580;100;31005;10;100;31580;B188;PL
Vehicle0;10;100;31580;590;100;32165;B194;PU
Vehicle0;590;100;32165;590;100;32170;B195;PU
Vehicle0;590;100;32170;590;100;32175;B195;PL
Vehicle0;590;100;32175;0;100;32770;B194;PL
